year,quarter,revenue,revenue_growth,ebitda,ebitda_margin,employees,valuation,funding_raised,estimated_market_share,capex,opex,cash,debt,customer_count,source,confidence
2023,1,4.52,0.0403,0.68,0.15,2281.0,156.6,1.5,0.25,0.23,2.71,7.83,15.66,9047,public,0.86
2023,1,4.52,0.0617,,0.15,2239.0,156.14,0.0,0.25,0.23,2.71,7.81,15.61,9040,model_estimate,0.7
2023,1,4.52,0.028,0.68,0.15,2296.0,156180.0,1.5,0.25,0.23,2.71,7.81,null,9041,model_estimate,0.83
2023,1,4.48,0.0589,0.67,0.15,2262.0,156.72,0.0,0.25,0.22,2.69,7.84,15.67,8963,model_estimate,0.93
2023,1,4.51,0.0519,,0.15,2256.0,155.75,0.0,0.25,0.23,2.7,7.79,15.57,9016,model_estimate,0.87
2023,1,4.51,0.0405,0.68,0.15,2233.0,155.65,1.5,0.25,0.23,2.7,7.78,15.56,9012,model_estimate,0.73
2023,1,4.59,0.0169,0.69,0.15,2290.0,156.02,0.0,0.25,0.23,2.75,7.8,15.6,9172,model_estimate,0.86
2023,1,4.62,0.084,0.69,0.15,2294.0,156.32,0.0,0.25,0.23,2.77,7.82,15.63,9245,model_estimate,0.69
2023,1,4.6,0.0872,0.69,0.15,2341.0,157.75,0.0,0.25,0.23,2.76,7.89,15.77,9199,model_estimate,0.82
2023,1,4.61,0.0434,0.69,0.15,2346.0,157.1,0.0,0.25,0.23,2.77,7.86,15.71,9220,public,0.8
2023,1,4.62,0.0316,0.69,0.15,2268.0,156.56,1.5,0.25,0.23,2.77,7.83,15.66,9230,model_estimate,0.8
2023,1,4.61,0.0444,0.69,0.15,2341.0,156.95,0.0,0.25,0.23,2.76,7.85,15.7,9213,public,0.96
2023,1,4.66,0.0665,0.7,0.15,2282.0,157.65,0.0,0.25,0.23,2.8,7.88,15.77,9325,model_estimate,0.63
2023,1,4.69,0.0686,0.7,0.15,2332.0,156.99,0.0,0.25,0.23,2.82,7.85,15.7,9386,model_estimate,0.73
2023,1,4.73,0.0685,0.71,0.15,2372.0,156.96,0.0,0.25,0.24,2.84,7.85,15.7,9456,public,0.87
2023,1,4.78,0.07,0.72,0.15,2438.0,156.05,0.0,0.25,0.24,2.87,7.8,15.6,9564,model_estimate,0.94
2023,1,4.8,0.0856,0.72,0.15,2439.0,157.0,1.5,0.25,0.24,2.88,7.85,15.7,9597,model_estimate,0.6
2023,1,4.77,0.0687,0.72,0.15,2336.0,156.45,0.0,0.25,0.24,2.86,7.82,15.65,9535,public,0.86
2023,1,4.78,0.0447,0.72,0.15,2399.0,156.03,1.5,0.25,0.24,2.87,7.8,15.6,9553,model_estimate,0.74
2023,1,4.75,0.0191,0.71,0.15,2357.0,155.95,1.5,0.25,0.24,2.85,7.8,15.6,9509,model_estimate,0.69
2023,1,4.77,0.0519,0.72,0.15,2341.0,156.63,0.0,0.25,0.24,2.86,7.83,15.66,9545,public,0.77
2023,1,4.79,0.0697,0.72,0.15,2424.0,156.74,1.5,0.25,0.24,2.87,7.84,15.67,9576,model_estimate,0.7
2023,1,4.7,0.057,0.7,0.15,2385.0,156.5,1.5,0.25,0.23,2.82,7.83,15.65,9390,model_estimate,0.65
2023,1,4.78,0.0966,0.72,0.15,2356.0,156.65,0.0,0.25,0.24,2.87,7.83,15.67,9564,public,0.64
2023,1,4.73,0.061,0.71,0.15,2411.0,156.76,1.5,0.25,0.24,2.84,7.84,15.68,9453,model_estimate,0.72
2023,1,4.68,,0.7,0.15,2360.0,156.64,1.5,0.25,0.23,2.81,7.83,15.66,9360,public,0.65
2023,1,4.68,0.0437,0.7,0.15,2314.0,156.49,0.0,0.25,0.23,2.81,7.82,15.65,9359,model_estimate,0.67
2023,1,4.64,0.0526,0.7,0.15,2292.0,157.04,0.0,0.25,0.23,2.78,7.85,15.7,9275,model_estimate,0.63
2023,1,4.63,0.0996,0.69,0.15,2319.0,156.83,0.0,0.25,0.23,2.78,7.84,15.68,9265,public,0.68
2023,1,4.65,0.0277,0.7,0.15,2330.0,156.21,1.5,0.25,0.23,2.79,7.81,15.62,9290,public,0.74
