year,quarter,revenue,revenue_growth,ebitda,ebitda_margin,employees,valuation,funding_raised,estimated_market_share,capex,opex,cash,debt,customer_count,source,confidence
2023,1,18.69,0.0409,2.8,0.15,9302.0,1199.34,0.0,0.25,0.93,11.22,59.97,119.93,37386,public,0.67
2023,1,18.69,,2.8,0.15,9370.0,1199.48,0.0,0.25,0.93,11.21,59.97,119.95,37376,model_estimate,0.9
2023,1,18.61,0.0792,2.79,0.15,9340.0,1199.42,0.0,0.25,0.93,11.17,59.97,null,37224,model_estimate,0.81
2023,1,18.63,0.06,2.79,0.15,9338.0,1200.46,0.0,0.25,0.93,11.18,60.02,120.05,37252,model_estimate,0.64
2023,1,18.61,0.0667,2.79,0.15,9276.0,1199.48,0.0,0.25,0.93,11.16,59.97,119.95,37211,model_estimate,0.95
2023,1,18.52,0.0533,2.78,0.15,9283.0,1199.42,0.0,0.25,0.93,11.11,59.97,119.94,37035,model_estimate,0.86
2023,1,18.58,0.0329,2.79,0.15,9265.0,1199.46,0.0,0.25,0.93,11.15,59.97,119.95,37158,model_estimate,0.98
2023,1,18.51,0.0555,2.78,0.15,9283.0,1199.69,0.0,0.25,0.93,11.11,59.98,119.97,37018,public,0.7
2023,1,18.55,0.0278,2.78,0.15,9292.0,1199.66,1.5,0.25,0.93,11.13,59.98,-------,37090,model_estimate,0.64
2023,1,18.47,0.0186,2.77,0.15,9281.0,1199.74,0.0,0.25,0.92,11.08,59.99,119.97,36938,public,0.89
2023,1,18.47,0.0983,2.77,0.15,9264.0,1199.44,0.0,0.25,0.92,11.08,59.97,119.94,36947,public,0.64
2023,1,18.49,0.0456,2.77,0.15,9252.0,1198.76,0.0,0.25,0.92,11.1,59.94,119.88,36988,model_estimate,0.79
2023,1,18.49,0.0525,2.77,0.15,9286.0,1198.85,0.0,0.25,0.92,11.09,59.94,119.89,36979,public,N/A
2023,1,18.51,0.0463,2.78,0.15,9289.0,1198.79,1.5,0.25,0.93,11.1,59.94,119.88,37012,public,0.76
2023,1,18.53,0.0696,2.78,0.15,9237.0,1198.04,0.0,0.25,0.93,11.12,59.9,119.8,37054,public,0.68
2023,1,18.61,0.068,2.79,0.15,9261.0,1197.94,1.5,0.25,0.93,11.17,59.9,unknown,37217,model_estimate,0.95
2023,1,18.51,0.0466,2.78,0.15,9301.0,1197.69,1.5,0.25,0.93,11.11,59.88,119.77,37023,model_estimate,0.61
2023,1,18.47,0.0308,2.77,0.15,9203.0,1197.89,0.0,0.25,0.92,11.08,59.89,119.79,36949,model_estimate,0.99
2023,1,18.52,0.0574,2.78,0.15,9282.0,1198.64,0.0,0.25,0.93,11.11,59.93,119.86,37048,model_estimate,0.73
