year,quarter,revenue,revenue_growth,ebitda,ebitda_margin,employees,valuation,funding_raised,estimated_market_share,capex,opex,cash,debt,customer_count,source,confidence
2023,1,16.16,0.0442,2.42,0.15,8042.0,69.3,1.5,0.25,0.81,9.69,3.47,6.93,32316,public,0.9
2023,1,16.1,0.0591,2.42,0.15,8006.0,69.21,0.0,0.25,0.81,9.66,3.46,6.92,32209,public,0.93
2023,1,16.17,0.0723,,0.15,8078.0,69.47,0.0,0.25,0.81,9.7,3.47,6.95,32330,null,0.84
2023,1,16.14,0.0353,2.42,0.15,8050.0,69.46,1.5,0.25,0.81,9.68,3.47,6.95,32273,model_estimate,0.72
2023,1,16.11,0.0624,2.42,0.15,8015.0,70.01,0.0,0.25,0.81,9.67,3.5,7.0,32221,model_estimate,0.8
2023,1,16.06,0.0418,2.41,0.15,7985.0,69.3,1.5,0.25,0.8,9.64,3.47,6.93,32118,-------,N/A
2023,1,16.02,0.0318,2.4,0.15,8038.0,68.83,1.5,0.25,0.8,9.61,3.44,6.88,32039,unknown,0.91
2023,1,16.0,0.0715,2.4,0.15,8033.0,69.51,1.5,0.25,0.8,9.6,3.48,6.95,32001,public,0.74
2023,1,15.98,0.0301,2.4,0.15,8038.0,69.1,1.5,0.25,0.8,9.59,3.46,6.91,31967,public,0.75
2023,1,15.93,0.0754,2.39,0.15,8011.0,68.14,0.0,0.25,0.8,9.56,3.41,6.81,31852,model_estimate,0.6
2023,1,15.91,0.0371,2.39,0.15,7971.0,67.89,0.0,0.25,0.8,9.54,3.39,6.79,31810,model_estimate,0.68
2023,1,15.86,0.0353,2.38,0.15,7959.0,68.08,0.0,0.25,0.79,9.52,3.4,6.81,31725,public,0.84
2023,1,15.86,0.0333,2.38,0.15,7926.0,68.32,0.0,0.25,0.79,9.52,3.42,6.83,31720,public,0.68
2023,1,15.85,0.0346,2.38,0.15,7927.0,68.28,1.5,0.25,0.79,9.51,3.41,6.83,31700,public,-------
2023,1,15.91,0.0449,2.39,0.15,7916.0,68.44,1.5,0.25,0.8,9.54,3.42,6.84,31811,model_estimate,0.7
2023,1,15.86,0.0464,2.38,0.15,7902.0,69.37,1.5,0.25,0.79,9.52,3.47,6.94,31720,model_estimate,0.93
2023,1,15.91,0.074,-9999.99,0.15,7930.0,69.32,0.0,0.25,0.8,9.55,3.47,6.93,31826,model_estimate,0.66
2023,1,15.87,0.064,2.38,0.15,7886.0,69.01,0.0,0.25,0.79,9.52,3.45,6.9,31745,model_estimate,0.75
2023,1,15.82,0.0428,2.37,0.15,7908.0,69.25,0.0,0.25,0.79,9.49,3.46,6.92,31643,model_estimate,0.95
2023,1,15.84,0.0605,2.38,0.15,7952.0,69.93,1.5,0.25,0.79,9.5,3.5,6.99,31671,public,0.72
2023,1,15.89,0.0046,2.38,0.15,7955.0,70.82,0.0,0.25,0.79,9.53,3.54,7.08,31777,model_estimate,0.78
2023,1,15.84,0.0686,2.38,0.15,7880.0,70.66,0.0,0.25,0.79,9.5,3.53,7.07,31674,public,0.76
2023,1,15.83,0.0408,2.37,0.15,7901.0,71.4,1.5,0.25,0.79,9.5,3.57,7.14,31652,public,0.68
2023,1,15.82,0.0336,2.37,0.15,7861.0,71.14,0.0,0.25,0.79,9.49,3.56,7.11,31634,public,0.85
2023,1,15.78,0.0513,2.37,0.15,7863.0,71.74,1.5,0.25,0.79,9.47,3.59,7.17,31559,model_estimate,0.96
2023,1,15.83,0.0354,2.37,0.15,7907.0,71.84,1.5,0.25,0.79,9.5,3.59,7.18,31653,model_estimate,0.82
2023,1,15.81,0.015,2.37,0.15,7867.0,72.11,1.5,0.25,0.79,9.49,3.61,-------,31617,public,0.68
